escenario,fpr,tpr
"sin DP, sin recorte",0.9966685812751293,0.9974727168294084
recorte sin ruido,0.0,0.0
recorte sin ruido,0.006203331418724871,0.005858701895462378
recorte sin ruido,0.01022400919012062,0.009879379666858128
recorte sin ruido,0.014933946008041356,0.013785180930499713
recorte sin ruido,0.019529006318207927,0.018150488225157954
recorte sin ruido,0.024813325674899484,0.0225157955198162
recorte sin ruido,0.02848937392303274,0.02711085582998277
recorte sin ruido,0.033429063756461805,0.03113153360137852
recorte sin ruido,0.03744974152785755,0.03595634692705342
recorte sin ruido,0.04215967834577829,0.039862148190695
recorte sin ruido,0.04859276278001149,0.04399770246984492
recorte sin ruido,0.05318782309017806,0.04916714531878231
recorte sin ruido,0.05697874784606548,0.05399195864445721
recorte sin ruido,0.06318207926479034,0.058012636415852956
recorte sin ruido,0.0684663986214819,0.061688684663986214
recorte sin ruido,0.07283170591614015,0.06674325100516944
recorte sin ruido,0.07719701321079839,0.07099368179207352
recorte sin ruido,0.08248133256748995,0.07627800114876508
recorte sin ruido,0.08902929350947732,0.08179207352096496
recorte sin ruido,0.09362435381964389,0.08719126938541068
recorte sin ruido,0.09844916714531879,0.09316484778862723
recorte sin ruido,0.10396323951751867,0.0977599080987938
recorte sin ruido,0.10809879379666858,0.10407811602527284
recorte sin ruido,0.11361286616886847,0.10798391728891442
recorte sin ruido,0.11912693854106836,0.11234922458357266
recorte sin ruido,0.12303273980470994,0.11843767949454337
recorte sin ruido,0.12877656519241815,0.1234922458357266
recorte sin ruido,0.13555427914991383,0.12785755313038483
recorte sin ruido,0.1392303273980471,0.1331418724870764
recorte sin ruido,0.14336588167719702,0.13842619184376795
recorte sin ruido,0.14750143595634693,0.1437105112004595
recorte sin ruido,0.15163699023549684,0.14830557151062607
recorte sin ruido,0.15611717403790926,0.15358989086731764
recorte sin ruido,0.1611717403790925,0.15967834577828835
recorte sin ruido,0.16668581275129235,0.1646180356117174
recorte sin ruido,0.17036186099942563,0.1713957495692131
recorte sin ruido,0.17438253877082135,0.17633543940264215
recorte sin ruido,0.17863296955772545,0.18093049971280872
recorte sin ruido,0.18276852383687536,0.1862148190695003
recorte sin ruido,0.18724870763928778,0.19207352096496266
recorte sin ruido,0.1913842619184377,0.19655370476737508
recorte sin ruido,0.19540493968983344,0.20114876507754165
recorte sin ruido,0.2,0.207007466973004
recorte sin ruido,0.20413555427914992,0.21240666283744974
recorte sin ruido,0.2086157380815623,0.21700172314761632
recorte sin ruido,0.21401493394600804,0.22136703044227454
recorte sin ruido,0.21815048822515795,0.22630672027570362
recorte sin ruido,0.22297530155083287,0.23055715106260768
recorte sin ruido,0.22814474439977026,0.2357265939115451
recorte sin ruido,0.23319931074095349,0.2411257897759908
recorte sin ruido,0.23848363009764503,0.2450315910396324
recorte sin ruido,0.24353819643882826,0.25031591039632395
recorte sin ruido,0.2479035037334865,0.2553704767375072
recorte sin ruido,0.25387708213670307,0.2601952900631821
recorte sin ruido,0.25766800689259045,0.26547960941987364
recorte sin ruido,0.2619184376794945,0.27053417576105687
recorte sin ruido,0.26616886846639864,0.2752441125789776
recorte sin ruido,0.27064905226881103,0.27983917288914417
recorte sin ruido,0.2748994830557151,0.2838598506605399
recorte sin ruido,0.27914991384261917,0.2885697874784607
recorte sin ruido,0.2839747271682941,0.2941987363584147
recorte sin ruido,0.28914417001723147,0.29844916714531877
recorte sin ruido,0.29465824238943134,0.3029293509477312
recorte sin ruido,0.30040206777713957,0.3074095347501436
recorte sin ruido,0.30591614014933943,0.31143021252153935
recorte sin ruido,0.3103963239517519,0.31556576680068926
recorte sin ruido,0.31487650775416426,0.3213095921883975
recorte sin ruido,0.32073520964962665,0.3262492820218265
recorte sin ruido,0.32556002297530157,0.3308443423319931
recorte sin ruido,0.33072946582423896,0.334979896611143
recorte sin ruido,0.33566915565766803,0.33877082136703046
recorte sin ruido,0.34198736358414705,0.344055140723722
recorte sin ruido,0.34669730040206775,0.34807581849511776
recorte sin ruido,0.3511774842044802,0.35278575531303846
